model,energy_mev,n,rmse_pct_mean,rmse_pct_std,gamma_pass_pct_mean,gamma_pass_pct_std,distal_edge_error_mm_mean,distal_edge_error_mm_std,peak_depth_cm_mean,peak_depth_cm_std
braggtransporter_v0,135,40.0,0.8174632200909624,0.4482709696406925,97.35859035327891,0.7514343143504452,0.12026708226611689,0.22008048215032286,13.544999999999998,1.321495365107271
braggtransporter_v0,175,40.0,1.0769186463147187,0.7740048072205936,97.44596908661708,2.6913310780380733,0.14315412503663155,0.22092983277304487,21.3,1.6770882505103901
braggtransporter_v0,205,40.0,0.9190132552445327,0.23839620911812803,97.87868225983469,2.7376040050083392,0.09539506016069552,0.13150635315499837,27.930000000000007,1.8337052653030141
braggtransporter_v0,95,40.0,0.7920784391338949,0.1379071468159408,94.60378966797826,0.6814037691563256,0.0855832865878158,0.0769411375868373,7.284999999999999,0.8611910357173954
braggtransporter_v0,aggregate,160.0,0.9013683901960272,0.48114318091069413,96.82175784192725,2.370706864751313,0.11109988851281494,0.17497751236496914,17.515,7.935290637399491
dota,135,40.0,4.524944605757892,0.47756438804375756,92.50872313795904,1.315121010968742,1.3285104823033596,0.2466260656725387,13.45875,1.2981904473150312
dota,175,40.0,4.495554000157222,2.6614377523161785,93.7256593878261,2.9431362680564472,1.6007466031686797,0.8308540296058429,21.19375,1.6968237791532745
dota,205,40.0,3.183444193964182,0.04309494340945313,95.71343403701272,1.1322100648200846,1.697199401510339,0.12826394516578793,27.767500000000002,1.8396178271586734
dota,95,40.0,4.764608717009962,0.22915586917661962,87.47939463447035,1.2470027424419392,1.011106134142805,0.17787674155458996,7.102499999999999,0.8653720298230121
dota,aggregate,160.0,4.242137879222315,1.4919530581736136,92.35680279931705,3.541943028126071,1.4093906552812958,0.5205424442238653,17.380625,7.9395469555494795
fno1d,135,40.0,0.7430989888754864,0.6094866669819635,95.9570556818846,9.365993026999604,0.12848135630372753,0.06557705900344235,13.553750000000003,1.3083332669851364
fno1d,175,40.0,1.7199549847719453,3.485500545607498,89.35596725169323,24.322549576609113,0.1554766222590082,0.20185337371032996,21.396250000000002,1.746957623269666
fno1d,205,40.0,0.8260812669758473,0.3985042514963978,97.33518230188047,5.014751246125132,0.09290875638937521,0.0661431849317796,27.87375,1.8204562443244823
fno1d,95,40.0,0.668874951787963,0.12161405051471644,95.0940579577177,1.843838526440132,0.10379900740823889,0.03816922984950951,7.245,0.8563585697591868
fno1d,aggregate,160.0,0.9895025481028105,1.831499912181395,94.435565798294,13.645643576915882,0.12016643559008747,0.11532970902565874,17.5171875,7.942656881663953
mlp,135,40.0,4.766142822907442,0.2612290750097068,89.82107158700606,6.202816604266069,0.6649602063339103,0.19294706445772297,13.586250000000001,1.2542670917711265
mlp,175,40.0,4.6822540846244385,1.58254817731185,87.96294386364858,7.379905235410656,0.8830634289703149,0.311277009624359,21.53875,1.745529557899264
mlp,205,40.0,3.022756128815763,0.1065120389183173,80.86790302082963,3.2586929413357173,0.8279020594727434,0.11677518885141251,28.151249999999997,1.8467196423658896
mlp,95,40.0,3.955707340334868,0.28650937527689385,19.46927638147783,6.248859319834044,0.4823490461151554,0.1556481121224104,7.2700000000000005,0.815
mlp,aggregate,160.0,4.106715094170627,1.0758708378507702,69.53029871324051,29.701558700626705,0.714568685223031,0.25961828724902164,17.636562500000004,8.036650853035345
